3	81	1997	1	24
1427792	107	2014	4	23
9	81	2002	10	14
10	221	2002	10	14
11	81	1999	\N	\N
12	81	1997	\N	\N
3343164	109	\N	\N	\N
18	221	1997	5	24
19	221	1997	7	14
20	221	1997	9	22
21	221	1997	11	27
25	221	1996	12	14
26	107	1998	4	1
28	221	2000	1	17
29	221	1999	5	10
30	221	1999	8	9
31	221	2000	5	10
33	221	2001	10	8
34	221	2002	1	14
36	221	2003	7	14
37	221	1996	2	26
39	221	1996	4	29
44	221	1998	5	25
48	221	1990	10	1
49	221	1998	11	23
55	221	1997	8	25
57	221	1999	6	7
60	221	2001	7	23
372235	222	2002	\N	\N
66	221	2003	8	11
67	221	2003	7	21
14	222	1992	11	6
1088433	160	2011	5	13
70	221	1996	5	20
71	221	2003	1	13
72	221	2003	1	13
73	221	2003	4	21
75	107	2001	9	25
3686653	240	2013	9	21
957143	222	2007	\N	\N
68	221	2002	9	16
54	221	2002	11	5
42	221	1983	\N	\N
52	222	1998	3	24
56	222	2003	9	9
32	221	2001	7	9
41	221	2003	10	20
35	221	1980	4	14
38	222	1981	\N	\N
59	221	2000	5	15
62	221	2003	11	17
83	221	1963	3	22
17	221	1996	10	12
46	221	1986	6	29
2977950	221	\N	\N	\N
81	221	1995	8	\N
82	57	2003	8	29
24	222	1999	11	2
43	221	1984	9	3
2392694	202	2008	12	3
47	221	1988	4	11
2392697	240	2011	4	13
1526629	240	2011	10	11
5	222	1994	10	17
1280075	81	2004	5	14
109	107	2003	11	14
111	221	1994	\N	\N
116	221	1996	11	18
1146416	221	1999	\N	\N
120	221	2002	6	3
121	221	1997	7	28
122	221	1997	5	12
124	221	1997	10	13
128	221	2001	6	18
129	221	2001	11	26
132	221	1987	\N	\N
138	107	2003	2	5
139	222	2003	2	11
113	221	1996	\N	\N
142	222	1998	2	3
127	221	1997	\N	\N
145	222	2002	4	29
146	222	1995	2	14
149	221	1992	\N	\N
3454344	240	2022	5	6
153	222	1994	12	16
1281837	221	2008	6	10
157	222	1991	8	13
298455	222	1995	\N	\N
80	57	2003	5	28
123	107	1972	\N	\N
78	222	2000	6	20
103	221	1969	9	26
137	221	1970	11	\N
115	221	1996	6	6
112	221	2003	12	1
1147511	170	2011	\N	\N
3454355	48	2016	8	1
95	222	2000	8	29
3116137	136	\N	\N	\N
84	221	1963	11	22
104	221	1970	5	8
232	222	1994	2	1
160	222	1996	1	23
161	221	1998	\N	\N
162	222	2001	7	10
163	221	1998	\N	\N
164	222	1990	\N	\N
165	221	2000	10	31
166	221	2001	10	9
126	221	2000	5	22
151	222	1996	12	10
90	222	2003	3	25
100	221	1969	1	17
94	222	1967	11	27
119	221	2000	6	5
136	57	1997	10	14
107	107	1999	9	13
88	221	1965	8	6
167	81	1995	4	1
148	222	2002	11	26
91	221	1965	12	3
156	222	2003	6	24
92	221	1966	8	5
108	107	2000	11	13
200	38	1997	\N	\N
1324536	222	\N	\N	\N
180	222	1993	2	16
3686656	240	2022	5	25
210	221	2001	3	19
204	222	1993	6	\N
523557	222	2001	2	20
963762	222	1998	4	21
191	221	1990	\N	\N
189	81	1985	\N	\N
196	222	2002	11	19
197	222	2003	9	29
194	222	1994	3	1
202	222	1992	4	21
203	107	1998	9	9
206	221	1996	5	20
207	221	1998	9	14
208	107	1998	9	9
209	107	1998	9	9
214	221	1996	2	5
215	222	1994	3	8
217	222	1991	5	28
218	222	1996	8	20
219	222	1988	\N	\N
220	222	1997	9	8
223	221	1996	8	\N
225	222	1996	8	20
227	222	1999	9	21
230	222	1998	5	5
231	222	1996	9	24
234	222	1994	\N	\N
1529022	194	1953	\N	\N
909394	30	\N	\N	\N
1108459	21	2011	\N	\N
179	38	1975	\N	\N
172	221	1997	\N	\N
183	38	1979	\N	\N
178	222	1995	4	11
199	222	1991	11	12
177	222	1993	2	16
185	222	1992	3	10
188	222	1992	3	10
184	222	1992	3	10
1114436	214	2009	\N	\N
237	81	1992	6	8
238	222	2002	10	29
193	38	1993	\N	\N
251	222	2002	11	5
1138834	107	1983	12	16
253	222	2003	\N	\N
254	222	1987	7	21
2053688	92	\N	\N	\N
260	81	1999	2	8
1178347	73	2010	\N	\N
263	221	1987	4	30
195	222	1997	2	4
221	222	1999	3	23
222	221	2001	11	5
259	222	1987	7	21
2053689	81	1988	\N	\N
169	221	1995	4	24
168	222	1995	4	25
170	107	1995	12	1
960407	222	1999	7	20
1966951	240	2017	5	12
270	221	1967	12	8
272	221	2000	5	29
282	222	1973	4	2
274	222	1969	1	13
276	222	1970	2	26
277	222	1970	5	18
330	221	2003	12	8
291	222	1994	12	6
299	222	1996	3	19
267	222	1966	6	14
312	222	2003	3	4
1147512	240	2011	6	9
315	73	2003	5	19
503272	81	2009	3	13
320	222	1996	\N	\N
1001238	221	1995	\N	\N
323	73	2003	7	7
3477682	237	\N	\N	\N
332	81	2003	12	8
298	221	1996	3	18
1968196	113	2017	5	17
302	221	1996	10	28
1372856	222	2012	4	16
261	222	1964	12	15
1104587	150	1994	\N	\N
400	222	2000	2	29
294	221	1995	11	21
266641	221	2000	9	25
319	222	1983	7	25
265	221	2001	3	12
325	81	2003	9	8
333	221	2003	12	8
336	222	1999	8	\N
348	205	1999	9	9
